,id_spotify,score,title_rs,title_sp,artist_rs,artist_sp
9094,61582,0.851851851851852,Buddy Holly,Buddy Holly,Weezer,['Weezer']
10915,68155,0.36,Loser,Debra,Beck,['Beck']
9168,62398,0.902439024390244,Cry Me a River,Cry Me a River,Justin Timberlake,['Justin Timberlake']
11649,71094,0.555555555555556,Whole Lotta Love,Whole Lotta Love - 2012 Remaster,Led Zeppelin,['Led Zeppelin']
9153,62300,0.818181818181818,One More Time,One More Time,Daft Punk,['Daft Punk']
11151,70108,0.487179487179487,La Bamba,Framed,Ritchie Valens,['Ritchie Valens']
7337,58128,0.555555555555556,Aint It a Shame,Ain't That A Shame,Fats Domino,['Fats Domino']
7349,58142,0.833333333333333,Blueberry Hill,Blueberry Hill,Fats Domino,['Fats Domino']
7686,58617,0.906976744186046,Where Did Our Love Go,Where Did Our Love Go,The Supremes,['The Supremes']
13708,77847,0.891891891891892,I Will Survive,I Will Survive,Gloria Gaynor,['Gloria Gaynor']
8570,59581,0.902439024390244,Sweet Home Alabama,Sweet Home Alabama,Lynyrd Skynyrd,['Lynyrd Skynyrd']
7453,58322,0.846153846153846,The Wanderer,The Wanderer,Dion,['Dion']
8364,59300,0.894736842105263,Tired of Being Alone,Tired of Being Alone,Al Green,['Al Green']
17475,97303,0.813953488372093,Got My Mojo Working,Got My Mojo Working,Muddy Waters,['Muddy Waters']
14693,82800,0.877551020408163,Son of a Preacher Man,Son of a Preacher Man,Dusty Springfield,['Dusty Springfield']
7930,58884,0.716666666666667,River Deep - Mountain High,River Deep - Mountain High,Ike and Tina Turner,['Ike & Tina Turner']
13685,77769,0.870967741935484,We Will Rock You,We Will Rock You,Queen,['Queen']
15227,85074,0.891891891891892,Tears in Heaven,Tears in Heaven,Eric Clapton,['Eric Clapton']
7451,58316,0.851851851851852,Runaround Sue,Runaround Sue,Dion,['Dion']
9145,62186,0.5,Stan,Stan,Eminem feat. Dido,"['Eminem', 'Dido']"
9152,62298,0.866666666666667,Last Nite,Last Nite,The Strokes,['The Strokes']
9181,62569,0.902439024390244,Since U Been Gone,Since U Been Gone,Kelly Clarkson,['Kelly Clarkson']
12345,73219,0.843137254901961,Whats Love Got to Do With It,What's Love Got to Do with It,Tina Turner,['Tina Turner']
11596,70938,0.85,Positively 4th Street,Positively 4th Street,Bob Dylan,['Bob Dylan']
16399,91369,0.849056603773585,Remember (Walkin in the Sand),Remember (Walkin' In The Sand),The Shangri-Las,['The Shangri-Las']
11451,70753,0.626865671641791,We Gotta Get Out of This Place,We Gotta Get Out Of This Place (US Version),The Animals,['The Animals']
20519,113993,0.9,Smells Like Teen Spirit,Smells Like Teen Spirit,Nirvana,['Nirvana']
8425,59396,0.897435897435897,Walk on the Wild Side,Walk On the Wild Side,Lou Reed,['Lou Reed']
16417,91601,0.591836734693878,Rappers Delight,Rapper's Delight,Sugarhill Gang,['The Sugarhill Gang']
9125,61828,0.410714285714286,Earth Angel,Earth Angel (Will You Be Mine),The Penguins,['The Penguins']
9034,61195,0.6875,Nothing Compares 2 U,Nothing Compares 2 U,Sinead O'Connor,"[""Sinéad O'Connor""]"
20482,113255,0.538461538461538,Sweet Dreams (Are Made of This),Sweet Dreams (Are Made of This),Eurythmics,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']"
8211,59157,0.885714285714286,The Thrill is Gone,The Thrill Is Gone,B.B. King,['B.B. King']
7802,58741,0.6,Nowhere to Run,Nowhere To Run,Martha and the Vandellas,['Martha Reeves & The Vandellas']
8017,59006,0.566265060240964,Piece of My Heart,Piece of My Heart,Big Brother and the Holding Company,"['Big Brother & The Holding Company', 'Janis Joplin']"
7758,58708,0.604651162790698,I Got You Babe,I Got You Babe,Sonny and Cher,['Sonny & Cher']
7940,58896,0.326923076923077,Hey Joe,Hey Joe,The Jimi Hendrix Experience,['Jimi Hendrix']
8004,58986,0.514705882352941,All Along the Watchtower,All Along the Watchtower,The Jimi Hendrix Experience,['Jimi Hendrix']
14852,83136,0.644444444444444,Tumbling Dice,Tumbling Dice,Rolling Stones,['The Rolling Stones']
4597,31541,0.322033898305085,(White Man) In Hammersmith Palais,The Man In Me,The Clash,['The Clash']
6699,53145,0.92156862745098,(Sittin' on) the Dock of the Bay,(Sittin' On) The Dock of the Bay,Otis Redding,['Otis Redding']
8812,60180,0.851851851851852,Back in Black,Back In Black,AC/DC,['AC/DC']
9199,62904,0.8,Time to Pretend,Time to Pretend,MGMT,['MGMT']
10912,68025,0.528571428571429,I Fought the Law,I Fought the Law - Single Version,The Bobby Fuller Four,['The Bobby Fuller Four']
12696,76204,0.857142857142857,Tonights the Night,Tonight's The Night,The Shirelles,['The Shirelles']
9055,61314,0.862068965517241,Say It Loud - Im Black and Im Proud,Say It Loud - I'm Black And I'm Proud,James Brown,['James Brown']
7932,58890,0.4,Purple Haze,Purple Haze,The Jimi Hendrix Experience,['Jimi Hendrix']
6452,49452,0.80952380952381,Sheena Is a Punk Rocker,Sheena Is a Punk Rocker,Ramones,['Ramones']
8716,59951,0.652173913043478,Anarchy in the U.K.,Anarchy in the U.K.,The Sex Pistols,['Sex Pistols']
20481,113242,0.866666666666667,Radio Free Europe,Radio Free Europe,R.E.M.,['R.E.M.']
11505,70843,0.85,Walk Away Renee,Walk Away Renee,The Left Banke,['The Left Banke']
8009,58993,0.84,White Room,White Room,Cream,['Cream']
8647,59786,0.851851851851852,Dancing Queen,Dancing Queen,Abba,['ABBA']
9130,61876,0.9,Bitter Sweet Symphony,Bitter Sweet Symphony,The Verve,['The Verve']
17378,95824,0.507042253521127,The Message,Scorpio,Grandmaster Flash and the Furious Five,['Grandmaster Flash & The Furious Five']
18524,102513,0.833333333333333,Papas Got A Brand New Bag,Papa's Got A Brand New Bag,James Brown,['James Brown']
7959,58913,0.363636363636364,Foxey Lady,Foxey Lady,The Jimi Hendrix Experience,['Jimi Hendrix']
7946,58901,0.875,Light My Fire,Light My Fire,The Doors,['The Doors']
10667,66243,0.888888888888889,Thats Entertainment,That's Entertainment,The Jam,['The Jam']
18572,103612,0.769230769230769,In Da Club,In Da Club,50 Cent,['50 Cent']
16469,92466,0.84,Paper Planes,Paper Planes,M.I.A.,['M.I.A.']
7879,58819,0.866666666666667,Wild Thing,Wild Thing,The Troggs,['The Troggs']
8013,59000,0.924528301886792,I Heard It Through the Grapevine,I Heard It Through The Grapevine,Marvin Gaye,['Marvin Gaye']
19454,107250,0.703703703703704,Love Will Tear Us Apart,"Love Will Tear Us Apart (12"" Version)",Joy Division,['Joy Division']
6523,52249,0.403508771929825,Walking in the Rain,Just Walking In the Rain,The Ronettes,['The Champs']
7980,58940,0.66,You Keep Me Hanging On,You Keep Me Hangin' On,The Supremes,['The Supremes']
20603,115259,0.639344262295082,Standing in the Shadows of Love,Standing In The Shadows Of Love,The Four Tops,['Four Tops']
20440,112874,0.8125,Blitzkrieg Bop,Blitzkrieg Bop,Ramones,['Ramones']
17898,100080,0.91304347826087,Strawberry Fields Forever,Strawberry Fields Forever,The Beatles,['The Beatles']
7225,58023,0.42,Everyday,Everyday,Buddy Holly and the Crickets,['Buddy Holly']
12549,75883,0.525423728813559,That'll Be the Day,That'll Be The Day,Buddy Holly and the Crickets,['The Crickets']
7251,58033,0.638297872340426,Smokestack Lightning,Smokestack Lightnin',Howlin' Wolf,"[""Howlin' Wolf""]"
7264,58038,0.4375,Rave On,Rave On,Buddy Holly and the Crickets,['Buddy Holly']
7508,58407,0.638297872340426,Green Onions,Green Onions,Booker T. and the MG's,"[""Booker T. & the M.G.'s""]"
14841,83102,0.631578947368421,The Sounds of Silence,The Sounds of Silence,Simon and Garfunkel,['Simon & Garfunkel']
16796,94101,0.918367346938776,Dont Let Me Be Misunderstood,Don't Let Me Be Misunderstood,The Animals,['The Animals']
7741,58700,0.342857142857143,Cant Help Myself,"I Can't Help Myself (Sugar Pie, Honey Bunch)",The Four Tops,['Four Tops']
7757,58707,0.643835616438356,Norwegian Wood (This Bird Has Flown),Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,['The Beatles']
7762,58712,0.647058823529412,Baby I Need Your Loving,Baby I Need Your Loving,The Four Tops,['Four Tops']
7775,58721,0.833333333333333,Shes Not There,She's Not There,The Zombies,['The Zombies']
7939,58895,0.375,Little Wing,Little Wing,The Jimi Hendrix Experience,['Jimi Hendrix']
7960,58919,0.764705882352941,(Your Love Keeps Lifting Me) Higher and Higher,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,['Jackie Wilson']
7973,58932,0.454545454545455,Alone Again Or,Alone Again Or - 2015 Remaster,Love,['Love']
8326,59259,0.572916666666667,Thank You (Falettinme Be Mice Elf Agin),Thank You (Falettinme Be Mice Elf Agin) - single master,Sly and the Family Stone,['Sly & The Family Stone']
8439,59423,0.888888888888889,Love and Happiness,Love and Happiness,Al Green,['Al Green']
8489,59494,0.738461538461539,Midnight Train to Georgia,Midnight Train to Georgia,Gladys Knight and the Pips,['Gladys Knight & The Pips']
8639,59761,0.424242424242424,Cortez the Killer,Cortez the Killer - 2016 Remaster,Neil Young,"['Neil Young', 'Crazy Horse']"
15036,83584,0.381818181818182,Hotel California,Hotel California - 2013 Remaster,The Eagles,['Eagles']
8752,60034,0.885714285714286,One Way or Another,One Way Or Another,Blondie,['Blondie']
8771,60080,0.862068965517241,Highway to Hell,Highway to Hell,AC/DC,['AC/DC']
8832,60254,0.918367346938776,He Stopped Loving Her Today,He Stopped Loving Her Today,George Jones,['George Jones']
8863,60385,0.583333333333333,Should I Stay or Should I Go,Should I Stay or Should I Go - Remastered,The Clash,['The Clash']
8887,60466,0.619718309859155,Planet Rock,Planet Rock,Afrika Bambaataa and the Soul Sonic Force,"['Afrika Bambaataa', 'The Soulsonic Force']"
8898,60479,0.902439024390244,Every Breath You Take,Every Breath You Take,The Police,['The Police']
8913,60578,0.894736842105263,The Boys of Summer,The Boys Of Summer,Don Henley,['Don Henley']
8924,60585,0.622950819672131,I Want to Know What Love Is,I Want to Know What Love Is - 1999 Remaster,Foreigner,['Foreigner']
8925,60587,0.866666666666667,When Doves Cry,When Doves Cry,Prince,['Prince']
10796,66955,0.875,Sign O The Times,Sign 'O' the Times,Prince,['Prince']
8959,60783,0.30952380952381,Kiss,Kiss,Prince and the Revolution,['Prince']
8964,60796,0.405405405405405,Push It,Push It,Salt 'n Pepa,['Salt-N-Pepa']
9005,60977,0.793103448275862,Fuck tha Police,Fuck Tha Police,N.W.A,['N.W.A.']
9011,61075,0.866666666666667,Free Fallin,Free Fallin',Tom Petty,['Tom Petty']
9024,61134,0.891891891891892,Monkey Gone to Heaven,Monkey Gone to Heaven,Pixies,['Pixies']
17440,96744,0.549019607843137,Nuthin But a G Thang,"Nuthin' But A ""G"" Thang",Dr. Dre,"['Dr. Dre', 'Snoop Dogg']"
9139,62123,0.488372093023256,Big Pimpin,Big Pimpin',Jay-Z Featuring UGK,"['JAY-Z', 'UGK']"
9148,62202,0.833333333333333,Beautiful Day,Beautiful Day,U2,['U2']
20583,115019,0.894736842105263,Get Ur Freak On,Get Ur Freak On,Missy Elliott,['Missy Elliott']
9184,62586,0.743589743589744,Sunshine of Your Love,Sunshine Of Your Love,Cream,['Cream']
9185,62587,0.888888888888889,Take Me Out,Take Me Out,Franz Ferdinand,['Franz Ferdinand']
9195,62831,0.714285714285714,Louie Louie,Louie Louie,The Kingsmen,['The Kingsmen']
9198,62900,0.511111111111111,Umbrella,Umbrella,Rihanna Featuring Jay-Z,"['Rihanna', 'JAY-Z']"
9751,64513,0.528571428571429,For Your Precious Love,For Your Precious Love,Jerry Butler and The Impressions,['The Impressions']
10799,66974,0.764705882352941,Be My Baby,Be My Baby,The Ronettes,['The Ronettes']
10455,65607,0.8125,Lady Marmalade,Lady Marmalade,LaBelle,['LaBelle']
10538,65904,0.659574468085106,God Save the Queen,God Save the Queen,The Sex Pistols,['Sex Pistols']
10638,66146,0.652173913043478,Dancing Barefoot,Dancing Barefoot,Patti Smith Group,['Patti Smith']
10946,68734,0.631578947368421,Why Do Fools Fall In Love,Why Do Fools Fall in Love,Frankie Lymon and The Teenagers,"['Frankie Lymon', 'die Teenagers']"
12298,72864,0.62,Know You Got Soul,I Know You Got Soul,Eric B. and Rakim,['Eric B. & Rakim']
16396,91326,0.822222222222222,Leader of the Pack,Leader Of The Pack,The Shangri-Las,['The Shangri-Las']
13757,78007,0.4,Good Times,Good Times - 2018 Remaster,Chic,['CHIC']
18583,103938,0.666666666666667,Maybe,Maybe,The Chantels,['The Chantels']
